"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1017","should handle simple alert","chromium","2026-09-20","passed","2026-09-20","Handle Alerts","herokuapp/handleAlerts.spec.ts","",""
"","1055","should combination of keys","chromium","2026-09-20","passed","2026-09-20","Key board action scenario","herokuapp/keyboardActions.spec.ts","",""
"","1046","should handle multiple windows","chromium","2026-09-20","passed","2026-09-20","Handle Multiple Windows","herokuapp/handleMultipleWindows.spec.ts","",""
"","911","should handle prompt alert with cancel","chromium","2026-09-20","passed","2026-09-20","Handle Alerts","herokuapp/handleAlerts.spec.ts","",""
"","1048","handle normal frames","chromium","2026-09-20","passed","2026-09-20","handle frams","herokuapp/handlesFrames.spec.ts","",""
"","1011","should drag and drop using mouse events","chromium","2026-09-20","passed","2026-09-20","drag and drop scenario","herokuapp/dragAndDrop.spec.ts","",""
"","1004","should upload a single file","chromium","2026-09-20","passed","2026-09-20","Handle fileupload","herokuapp/fileUpload.spec.ts","",""
"","937","should drag source to target","chromium","2026-09-20","passed","2026-09-20","drag and drop scenario","herokuapp/dragAndDrop.spec.ts","",""
"","958","should handle confirm alert with cancel","chromium","2026-09-20","passed","2026-09-20","Handle Alerts","herokuapp/handleAlerts.spec.ts","",""
"","1122","should download a file","chromium","2026-09-20","passed","2026-09-20","Handle downloadFiles","herokuapp/downloadFile.spec.ts","",""
"","889","should handle confirm alert","chromium","2026-09-20","passed","2026-09-20","Handle Alerts","herokuapp/handleAlerts.spec.ts","",""
"","1859","handle iframes","chromium","2026-09-20","passed","2026-09-20","handle frams","herokuapp/handlesFrames.spec.ts","",""
"","974","should handle prompt alert","chromium","2026-09-20","passed","2026-09-20","Handle Alerts","herokuapp/handleAlerts.spec.ts","",""
"","885","keyboard actions","chromium","2026-09-20","passed","2026-09-20","Key board action scenario","herokuapp/keyboardActions.spec.ts","",""
"","953","should upload multiple files","chromium","2026-09-20","failed","2026-09-20","Handle fileupload","herokuapp/fileUpload.spec.ts","",""
